date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:36:42	135076/135076	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225d645780-20fa4%22	https://play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Bold.eot	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Bold.eot	(from https://play.cprewritten.net/)
01:36:43	135076/135076	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225d645780-20fa4%22	https://play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Bold.eot?	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Boldd41d.eot	(from https://play.cprewritten.net/)
01:36:43	57788/57788	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225d645780-e1bc%22	https://play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Bold.woff	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Bold.woff	(from https://play.cprewritten.net/)
01:36:43	134872/134872	---M--	200	added ('OK')	application/octet-stream	etag:%225d645780-20ed8%22	https://play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Bold.ttf	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Bold.ttf	(from https://play.cprewritten.net/)
01:36:43	252425/252425	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d645780-3da09%22	https://play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Bold.svg	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Bold.svg	(from https://play.cprewritten.net/)
01:36:44	135760/135760	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225d645780-21250%22	https://play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Regular.eot	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Regular.eot	(from https://play.cprewritten.net/)
01:36:44	135760/135760	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225d645780-21250%22	https://play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Regular.eot?	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Regulard41d.eot	(from https://play.cprewritten.net/)
01:36:44	38664/38664	---M--	200	added ('OK')	application/octet-stream	etag:%225d645780-9708%22	https://play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Regular.woff2	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Regular.woff2	(from https://play.cprewritten.net/)
01:36:45	57744/57744	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225d645780-e190%22	https://play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Regular.woff	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Regular.woff	(from https://play.cprewritten.net/)
01:36:45	135544/135544	---M--	200	added ('OK')	application/octet-stream	etag:%225d645780-21178%22	https://play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Regular.ttf	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Regular.ttf	(from https://play.cprewritten.net/)
01:36:45	256023/256023	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d645780-3e817%22	https://play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Regular.svg	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/fonts/ProximaNova-Regular.svg	(from https://play.cprewritten.net/)
01:36:45	1068/1068	---M--	200	added ('OK')	image/webp	etag:W/%220%22	https://play.cprewritten.net/assets/themes/snowball/img/xnav-sprites.min.webp.pagespeed.ic.wUCQv1rXHR.webp	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/img/xnav-sprites.min.webp.pagespeed.ic.wUCQv1rXHR.webp	(from https://play.cprewritten.net/)
01:36:46	844/844	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://play.cprewritten.net/assets/themes/snowball/img/nav-sprites.min.png.pagespeed.ce.BPQ54cBASm.png	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/img/nav-sprites.min.png.pagespeed.ce.BPQ54cBASm.png	(from https://play.cprewritten.net/)
01:36:46	15317/15317	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://play.cprewritten.net/assets/themes/snowball/img/friends/friends_sprites.min.png.pagespeed.ce.406XqDXfIy.png	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/img/friends/friends_sprites.min.png.pagespeed.ce.406XqDXfIy.png	(from https://play.cprewritten.net/)
01:36:46	2991/2991	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://play.cprewritten.net/assets/themes/snowball/img/xcaptcha-bot.min.png.pagespeed.ic.Q5qT1jIqZc.png	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/img/xcaptcha-bot.min.png.pagespeed.ic.Q5qT1jIqZc.png	(from https://play.cprewritten.net/)
01:36:47	231064/231064	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202020%2007:36:47%20GMT	https://play.cprewritten.net/.	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/.html	(from https://play.cprewritten.net/)
01:36:47	120477/120477	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://play.cprewritten.net/assets/themes/snowball/img/flash-notice-bg.min.png.pagespeed.ce.LsUAA5AHi0.png	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/img/flash-notice-bg.min.png.pagespeed.ce.LsUAA5AHi0.png	(from https://play.cprewritten.net/)
01:36:47	14472/14472	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://play.cprewritten.net/assets/themes/snowball/img/logo.min.png.pagespeed.ce.LabHRI8I15.png	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/img/logo.min.png.pagespeed.ce.LabHRI8I15.png	(from https://play.cprewritten.net/)
01:36:47	45976/45976	---M--	200	added ('OK')	application/x-shockwave-flash	etag:%225d645782-b398%22	https://play.cprewritten.net/assets/themes/snowball/media/firefox-trick.swf	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/media/firefox-trick.swf	(from https://play.cprewritten.net/)
01:36:48	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Jan%202020%2007:36:48%20GMT	https://play.cprewritten.net/get	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/get	(from https://play.cprewritten.net/)
01:36:48	315/315	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2029%20Jan%202020%2007:36:49%20GMT	https://play.cprewritten.net/media/v2/content/local/en/start/	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/media/v2/content/local/en/start/index.html	(from https://play.cprewritten.net/)
01:36:48	11357/11357	---M-Z	200	added ('OK')	text/javascript	etag:W/%22ee4-SpZt0vVxhqwuxeddxZ9eWO+P8+E%22	https://polyfill.io/v3/polyfill.min.js?features=Array.prototype.forEach%2CArray.prototype.indexOf%2CArray.prototype.findIndex%2Cdocument.querySelector%2CElement.prototype.classList%2CNodeList.prototype.forEach%2CObject.freeze	C:/Users/Letfo/Desktop/CPR/CPR/polyfill.io/v3/polyfill.minf90e.js	(from https://play.cprewritten.net/)
01:36:48	71795/71795	---MCZ	200	added ('OK')	application/javascript	etag:W/%220%22	https://play.cprewritten.net/assets/themes/snowball/js/protobuf.min.js.pagespeed.jm.1jwR9fEjL4.js	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/js/protobuf.min.js.pagespeed.jm.1jwR9fEjL4.js	(from https://play.cprewritten.net/)
01:36:48	139/139	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2029%20Jan%202020%2007:36:49%20GMT	https://play.cprewritten.net/media/v2/content/local/en/start/billboards/	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/media/v2/content/local/en/start/billboards/index.html	(from https://play.cprewritten.net/)
01:36:48	2295/2295	---MCZ	200	added ('OK')	application/javascript	etag:W/%220%22	https://play.cprewritten.net/assets/themes/snowball/js/fast-sort.js.pagespeed.ce.x3ikjmHODM.js	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/js/fast-sort.js.pagespeed.ce.x3ikjmHODM.js	(from https://play.cprewritten.net/)
01:36:48	24587/24587	---MCZ	200	added ('OK')	application/javascript	etag:W/%220%22	https://play.cprewritten.net/assets/themes/snowball/js/friends.min.js.pagespeed.jm.YLnw2j4Uga.js	C:/Users/Letfo/Desktop/CPR/CPR/play.cprewritten.net/assets/themes/snowball/js/friends.min.js.pagespeed.jm.YLnw2j4Uga.js	(from https://play.cprewritten.net/)
01:36:49	677/677	---MC-	200	added ('OK')	text/javascript	date:Wed,%2029%20Jan%202020%2007:36:49%20GMT	https://www.google.com/recaptcha/api.js?render=explicit	C:/Users/Letfo/Desktop/CPR/CPR/www.google.com/recaptcha/apib091.js	(from https://play.cprewritten.net/)
01:36:50	12310/12310	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e2997ec-3016%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	C:/Users/Letfo/Desktop/CPR/CPR/ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	(from https://play.cprewritten.net/)
